--- TYPE OVERLAP MATRIX: ---
--,	Human,	Spirit,	Zombie,	Elf,	Beast,	Goblin,	Vampire,	Dragon,	Bird,	Horror,	Cat,	Merfolk,	Angel,	Insect,	Giant,	Eldrazi,	Dinosaur,	Snake,	Werewolf,	Lizard,	Dog,	Ogre,	Dwarf,	Sliver,	Wurm,	Minotaur,	Drake,	Treefolk,	Orc,	Rat,	Spider,	Kor,	Elephant,	Wolf,	Faerie,	Sphinx,	Centaur,	Vedalken,	Frog,	Hydra,	Kithkin,	Djinn,	Devil,	God,	Rhino,	Troll,	Ninja,	Boar,	Dryad,	Fish,	Horse,	Peasant,	Bat,	Fox,	Myr,	Imp,	Bear,	Octopus,	Turtle,	Squirrel,	Wizard,	Warrior,	Soldier,	Cleric,	Rogue,	Shaman,	Knight,	Druid,	Scout,	Artificer,	Pirate,	Warlock,	Wall,	Monk,	Assassin,	Berserker,	Advisor,	Archer,	Detective,	Mercenary,	Samurai,	Citizen,	Ranger,	Rebel,	Spellshaper,	Barbarian,	Pilot,	Elemental,	Phyrexian,	Demon,	Noble,	Shapeshifter,	Avatar,	Illusion,	Ally,	Nightmare,	Plant,	Mutant,	Fungus,	Robot,	Minion,	Lord
Cat,	0,	7,	8,	0,	23,	0,	0,	5,	2,	0,	316,	0,	0,	0,	0,	0,	3,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	36,	24,	16,	4,	0,	10,	3,	5,	0,	0,	0,	0,	4,	0,	0,	4,	0,	0,	0,	0,	6,	2,	3,	0,	0,	0,	15,	-1,	-1,	0,	0,	3,	0,	0,	6,	0,	0,	0,	0,	0,	0
Merfolk,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	298,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	113,	18,	21,	4,	36,	17,	3,	4,	26,	0,	2,	0,	0,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	2,	0,	0,	0,	2,	0,	5,	0,	0,	0,	5,	0,	0,	2,	0,	0,	0,	0
Angel,	0,	7,	0,	0,	0,	0,	2,	0,	0,	4,	0,	0,	268,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	-1,	0,	0,	0,	0,	-1,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	10,	6,	10,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	3,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	10,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0
Insect,	3,	0,	0,	0,	2,	0,	0,	0,	0,	12,	0,	0,	0,	246,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	5,	0,	0,	0,	3,	0,	13,	2,	0,	0,	0,	0,	2,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	16,	0,	0,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0
Giant,	0,	2,	16,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	225,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	13,	42,	20,	2,	4,	9,	3,	3,	2,	0,	0,	0,	0,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	3,	3,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Eldrazi,	0,	0,	0,	0,	3,	0,	0,	0,	0,	6,	0,	0,	2,	4,	0,	190,	0,	0,	7,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Dinosaur,	0,	0,	2,	0,	12,	0,	0,	2,	0,	0,	3,	0,	0,	0,	0,	0,	201,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5,	3,	0,	0,	0,	4,	0,	0,	2,	0,	2,	2,	0,	0,	0
Snake,	0,	0,	9,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	175,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	5,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	15,	16,	0,	6,	4,	15,	0,	11,	2,	0,	0,	2,	0,	3,	0,	0,	0,	5,	0,	0,	2,	0,	2,	0,	0,	0,	0,	2,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Werewolf,	67,	0,	0,	0,	0,	0,	0,	0,	0,	7,	0,	0,	0,	0,	0,	7,	0,	0,	151,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	5,	2,	0,	5,	6,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	-1
Lizard,	0,	0,	2,	2,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	170,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	28,	3,	0,	8,	11,	0,	2,	2,	0,	0,	7,	0,	0,	4,	2,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0
Dog,	0,	2,	4,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	142,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5,	7,	0,	0,	2,	0,	0,	5,	0,	0,	0,	0,	0,	0,	0,	0,	3,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	16,	9,	2,	0,	0,	0,	0,	0,	2,	4,	0,	0,	2,	0,	0
Ogre,	0,	3,	5,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4,	52,	0,	0,	9,	16,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	3,	3,	0,	0,	3,	0,	0,	0,	0,	2,	3,	0,	0,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0
Dwarf,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5,	14,	13,	11,	2,	5,	6,	0,	2,	16,	0,	0,	0,	0,	0,	8,	2,	0,	0,	0,	0,	0,	0,	0,	0,	3,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Sliver,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	119,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Wurm,	0,	0,	4,	0,	0,	0,	0,	2,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	113,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Minotaur,	0,	0,	8,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	37,	7,	2,	0,	15,	0,	0,	0,	0,	2,	0,	0,	0,	0,	9,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0
Drake,	0,	0,	5,	0,	2,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	106,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Treefolk,	0,	3,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	105,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	13,	0,	0,	0,	15,	0,	11,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Orc,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	110,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	6,	29,	6,	3,	5,	9,	3,	0,	0,	2,	19,	0,	0,	4,	0,	4,	0,	2,	0,	0,	-1,	0,	3,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Rat,	0,	0,	5,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	105,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	9,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4,	2,	0,	0,	12,	6,	0,	0,	0,	0,	0,	5,	0,	0,	0,	2,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Spider,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	87,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Kor,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	85,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	6,	22,	17,	4,	2,	5,	0,	8,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	15,	0,	0,	0,	0,	0,	0,	0
Elephant,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	86,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	5,	13,	12,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Wolf,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	86,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0
Faerie,	5,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	153,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	30,	0,	6,	0,	40,	0,	2,	0,	4,	2,	0,	6,	0,	0,	2,	0,	2,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Sphinx,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	81,	0,	0,	0,	
